Overall rank,Country,Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,GDP,Gini
130,Sri Lanka,4.366,1.265,0.831,0.47,0.244,0.047,4081.94772722003,37.7
131,Myanmar,4.36,1.181,0.555,0.525,0.566,0.172,1425.98954241668,30.7
132,Chad,4.35,0.766,0.192,0.174,0.198,0.078,893.336441643325,37.4
133,Ukraine,4.332,1.39,0.739,0.178,0.187,0.01,3619.86157226563,25.6
134,Ethiopia,4.286,1.033,0.532,0.344,0.209,0.1,793.473247210264,31.1
136,Uganda,4.189,1.069,0.443,0.356,0.252,0.06,822.171150036357,42.7
138,Zambia,4.107,1.058,0.426,0.431,0.247,0.087,1258.98619844462,51.5
139,Togo,4.085,0.572,0.41,0.293,0.177,0.085,826.255209019798,37.9
140,India,4.015,0.765,0.588,0.498,0.2,0.085,2041.42863698585,25.5
141,Liberia,3.975,0.922,0.443,0.37,0.233,0.033,658.164180770507,35.3
142,Comoros,3.973,0.757,0.505,0.142,0.275,0.078,1510.23218151592,45.3
143,Madagascar,3.933,0.916,0.555,0.148,0.169,0.041,499.818837622534,36.8
144,Lesotho,3.802,1.169,0.168,0.359,0.107,0.093,1082.05706777516,44.9
145,Burundi,3.775,0.447,0.38,0.22,0.176,0.18,234.31061590725,37.5
146,Zimbabwe,3.663,1.114,0.433,0.361,0.151,0.089,2184.32923855469,50.3
147,Haiti,3.597,0.688,0.449,0.026,0.419,0.11,1352.17204191532,41.1
148,Botswana,3.488,1.145,0.538,0.455,0.025,0.1,7172.08956480028,54.9
150,Malawi,3.41,0.56,0.495,0.443,0.218,0.089,580.889139762475,38.5
152,Rwanda,3.334,0.711,0.614,0.555,0.217,0.411,810.051412137354,39.4
153,Tanzania,3.231,0.885,0.499,0.417,0.276,0.147,1063.32250976563,40.5
155,Central African Republic,3.083,0.0,0.105,0.225,0.235,0.035,449.228467602439,43.0
